iter	Passed	Remaining
0	359	3593656
1	614	3074331
2	856	2853519
3	1126	2815858
4	1378	2755193
5	1597	2660866
6	1860	2655915
7	2082	2601276
8	2287	2539147
9	2585	2582455
10	2856	2594270
11	3083	2566725
12	3336	2562899
13	3615	2579082
14	3830	2549541
15	4075	2543343
16	4266	2505289
17	4573	2536358
18	4815	2529552
19	4984	2487153
20	5223	2482084
21	5465	2479020
22	5700	2472767
23	5961	2478203
24	6234	2487598
25	6415	2460915
26	6724	2483967
27	6935	2469958
28	7208	2478485
29	7490	2489203
30	7731	2486328
31	7967	2482015
32	8252	2492532
33	8476	2484607
34	8707	2479178
35	8953	2478094
36	9171	2469739
37	9381	2459437
38	9617	2456321
39	9802	2440735
40	10070	2446124
41	10318	2446550
42	10585	2451072
43	10765	2435860
44	10999	2433362
45	11233	2430899
46	11512	2437924
47	11830	2452845
48	11985	2433934
49	12224	2432587
50	12522	2442915
51	12774	2443857
52	13086	2456142
53	13281	2446287
54	13503	2441681
55	13710	2434579
56	13926	2429404
57	14253	2443329
58	14469	2437919
59	14712	2437408
60	14952	2436203
61	15258	2445831
62	15546	2452080
63	15789	2451278
64	16035	2450925
65	16273	2449389
66	16533	2451154
67	16787	2452034
68	16997	2446408
69	17298	2453942
70	17536	2452437
71	17806	2455256
72	18128	2465259
73	18395	2467503
74	18706	2475495
75	18983	2478846
76	19140	2466679
77	19333	2459285
78	19513	2450551
79	19682	2440628
80	19858	2431809
81	20024	2421961
82	20216	2415508
83	20372	2404930
84	20515	2393066
85	20715	2388014
86	20883	2379558
87	21035	2369374
88	21217	2362746
89	21397	2356116
90	21546	2346148
91	21714	2338569
92	21870	2329802
93	22026	2321245
94	22152	2309679
95	22324	2303095
96	22506	2297781
97	22680	2291655
98	22849	2285189
99	22972	2274324
100	23064	2260538
101	23156	2247075
102	23254	2234498
103	23355	2222381
104	23449	2209854
105	23543	2197506
106	23637	2185490
107	23735	2174015
108	23829	2162365
109	23924	2151045
110	24018	2139811
111	24110	2128605
112	24203	2117726
113	24290	2106492
114	24381	2095728
115	24469	2084984
116	24561	2074727
117	24657	2064940
118	24750	2055090
119	24843	2045465
120	24937	2036020
121	25028	2026526
122	25120	2017219
123	25219	2008592
124	25312	1999702
125	25405	1990887
126	25494	1981964
127	25583	1973121
128	25690	1965794
129	25785	1957738
130	25877	1949528
131	25966	1941223
132	26054	1932901
133	26144	1924907
134	26232	1916935
135	26329	1909646
136	26420	1902096
137	26513	1894776
138	26605	1887469
139	26696	1880214
140	26787	1873026
141	26876	1865834
142	26965	1858741
143	27058	1851980
144	27147	1845105
145	27235	1838232
146	27326	1831591
147	27415	1824979
148	27505	1818487
149	27599	1812384
150	27690	1806118
151	27781	1799919
152	27868	1793624
153	27958	1787538
154	28048	1781532
155	28138	1775626
156	28232	1770041
157	28324	1764360
158	28425	1759353
159	28516	1753783
160	28604	1748043
161	28694	1742546
162	28794	1737761
163	28887	1732544
164	28977	1727251
165	29066	1721940
166	29156	1716720
167	29245	1711550
168	29335	1706506
169	29428	1701646
170	29517	1696656
171	29615	1692211
172	29703	1687248
173	29808	1683303
174	29897	1678550
175	29987	1673857
176	30077	1669242
177	30165	1664511
178	30255	1660004
179	30343	1655387
180	30433	1650988
181	30523	1646591
182	30616	1642420
183	30706	1638127
184	30796	1633871
185	30887	1629706
186	30979	1625685
187	31069	1621586
188	31161	1617597
189	31259	1613952
190	31351	1610071
191	31439	1606021
192	31526	1601993
193	31614	1598022
194	31703	1594121
195	31792	1590282
196	31880	1586403
197	31969	1582632
198	32054	1578741
199	32142	1575000
200	32233	1571434
201	32321	1567768
202	32411	1564229
203	32501	1560688
204	32589	1557130
205	32680	1553744
206	32772	1550430
207	32859	1546934
208	32950	1543612
209	33040	1540320
210	33129	1536973
211	33218	1533691
212	33308	1530455
213	33395	1527159
214	33485	1523997
215	33575	1520836
216	33662	1517584
217	33750	1514455
218	33841	1511430
219	33932	1508454
220	34019	1505328
221	34106	1502238
222	34193	1499157
223	34283	1496210
224	34369	1493166
