iter	RMSE
0	0.6899000453
1	0.6897595912
2	0.6896302859
3	0.6895017369
4	0.6893590491
5	0.6892321985
6	0.6890995686
7	0.6889556689
8	0.6888072927
9	0.6886796844
10	0.6885512958
11	0.6884033864
12	0.6882598205
13	0.6881448
14	0.688001051
15	0.687868699
16	0.6877368831
17	0.6876025216
18	0.6874680068
19	0.6873256224
20	0.6872054203
21	0.6870723621
22	0.6869592239
23	0.686820692
24	0.6866863222
25	0.686566916
26	0.6864236013
27	0.6862905378
28	0.6861560976
29	0.6860133476
30	0.6859086803
31	0.6857710263
32	0.6856379461
33	0.6855216191
34	0.6853958279
35	0.6852720965
36	0.6851319474
37	0.6849982448
38	0.6848890969
39	0.684774863
40	0.6846491975
41	0.6845177993
42	0.6843805976
43	0.6842420682
44	0.6841011981
45	0.6839740101
46	0.6838628263
47	0.683766704
48	0.6836574613
49	0.6835303591
50	0.6833766909
51	0.6832596329
52	0.6831507013
53	0.6830139222
54	0.682890159
55	0.6827611417
56	0.6826364852
57	0.6825159694
58	0.682390884
59	0.682240613
60	0.6820838909
61	0.6819523466
62	0.6818217046
63	0.6816926585
64	0.6815721007
65	0.6814427657
66	0.6813227122
67	0.6812165385
68	0.6810927057
69	0.6809578792
70	0.6808445739
71	0.6807204156
72	0.6806181051
73	0.6805049906
74	0.6803872435
75	0.6802625939
76	0.6801430539
77	0.6800297029
78	0.6799059381
79	0.6797805032
80	0.6796882912
81	0.6795684969
82	0.6794509289
83	0.6793269334
84	0.6791893556
85	0.6790861622
86	0.6789592322
87	0.6788504183
88	0.678738388
89	0.6786191064
90	0.6785172178
91	0.6783781973
92	0.6782692687
93	0.6781508677
94	0.6780339118
95	0.6779012405
96	0.6777805212
97	0.6776466281
98	0.6775245114
99	0.6773831728
100	0.677261237
101	0.6771470549
102	0.6770384316
103	0.6769234548
104	0.6767880751
105	0.6766779726
106	0.6765527809
107	0.676424882
108	0.6762938661
109	0.6761727897
110	0.6760331078
111	0.6759271388
112	0.6758009082
113	0.6756770762
114	0.6755479112
115	0.6754216941
116	0.6753017094
117	0.6751900347
118	0.6750834771
119	0.6749607248
120	0.6748455987
121	0.6747349189
122	0.6746046984
123	0.6744894745
124	0.6743448968
125	0.6742482989
126	0.6741406494
127	0.6740181412
128	0.6738926382
129	0.673779868
130	0.6736792656
131	0.6735625778
132	0.6734331864
133	0.6733007052
134	0.6731693383
135	0.6730639452
136	0.6729585253
137	0.6728262312
138	0.6727111047
139	0.6726053193
140	0.6724981484
141	0.6723954684
142	0.6722719562
143	0.6721575776
144	0.6720277821
145	0.6718995858
146	0.6717888154
147	0.6716638873
148	0.6715416354
149	0.6714004466
150	0.6712820275
151	0.6711741997
152	0.671066607
153	0.6709422781
154	0.6708203893
155	0.670701837
156	0.6706039891
157	0.6705020718
158	0.6703961012
159	0.6702907236
160	0.6701539755
161	0.6700365136
162	0.6699355389
163	0.6698335202
164	0.6697221325
165	0.6696038856
166	0.6694868583
167	0.6693769705
168	0.6692635947
169	0.6691326993
170	0.6690190714
171	0.6689219618
172	0.668802021
173	0.6686832315
174	0.6685358898
175	0.668425247
176	0.6682890921
177	0.6681832229
178	0.6680728564
179	0.6679458074
180	0.667835698
181	0.6677148568
182	0.6675821939
183	0.6674628972
184	0.6673533207
185	0.6672642235
186	0.6671600161
187	0.6670431614
188	0.6668939256
189	0.6667884557
190	0.666661692
191	0.6665520013
192	0.6664313269
193	0.6663129416
194	0.6662072386
195	0.6660874369
196	0.6659648095
197	0.6658791945
198	0.6657598459
199	0.6656366698
200	0.6655287326
201	0.6654175838
202	0.665298068
203	0.6651991318
204	0.6650983389
205	0.6649983424
206	0.6648855285
207	0.6647689964
208	0.664658768
209	0.6645401701
210	0.6644396621
211	0.664319271
212	0.6642250626
213	0.6641188005
214	0.6640069188
215	0.6638907317
216	0.6637815044
217	0.6636727427
218	0.6635578179
219	0.6634177556
220	0.6633109632
221	0.6632083787
222	0.663097337
223	0.6629931683
224	0.6628443366
225	0.6627437556
226	0.6626402284
227	0.6625396145
228	0.662428823
229	0.6623051586
230	0.6621840096
231	0.6620397762
232	0.66193495
233	0.6618378741
234	0.6617178871
235	0.661594921
236	0.6614751868
237	0.6613412881
238	0.661240078
239	0.6611333126
240	0.6610200514
241	0.6609107897
242	0.6607976063
243	0.660698702
244	0.6605890403
245	0.6604935536
246	0.6604002351
247	0.6602667143
248	0.6601450885
249	0.660020904
250	0.6599327589
251	0.6598477391
252	0.659730498
253	0.6596128489
254	0.6594919575
255	0.659375283
256	0.6592335241
257	0.6591221125
258	0.6590126889
259	0.6588797453
260	0.6587774452
261	0.6586781993
262	0.6585655408
263	0.6584587294
264	0.6583587936
265	0.658245202
266	0.6581413607
267	0.6580466477
268	0.6579367718
269	0.6578317199
270	0.6577280149
271	0.65762025
272	0.657521005
273	0.657418102
274	0.6573470765
275	0.6572240489
276	0.6571159048
277	0.6570127717
278	0.6568990347
279	0.6568120231
280	0.656702756
281	0.6566016796
282	0.656509838
283	0.6564272079
284	0.6563172345
285	0.6562074876
286	0.6560987649
287	0.6559803526
288	0.6558759282
289	0.6557741961
290	0.6556597781
291	0.6555524933
292	0.6554331369
293	0.6553115498
294	0.6552054751
295	0.6550924795
296	0.6549813399
297	0.6548709116
298	0.6547694077
299	0.6546721489
300	0.6545699088
301	0.654477101
302	0.6543723233
303	0.6542822789
304	0.6541887421
305	0.6540922253
306	0.6539859516
307	0.6538765329
308	0.6537703107
309	0.6536731491
310	0.6535710528
311	0.6534614976
312	0.6533642915
313	0.6532685433
314	0.6531724355
315	0.6530882219
