,0
0,13.8
1,23.0
2,17.2
3,16.2
4,21.9
5,20.1
6,23.3
7,22.0
8,12.3
9,38.7
10,19.3
11,23.0
12,21.2
13,17.4
14,20.9
15,22.1
16,13.4
17,8.5
18,24.8
19,26.6
20,30.5
21,29.6
22,18.3
23,37.9
24,29.0
25,14.2
26,10.2
27,19.5
28,24.5
29,19.8
30,22.5
31,21.4
32,18.7
33,13.4
34,50.0
35,24.0
36,20.5
37,20.6
38,50.0
39,17.3
40,14.3
41,21.1
42,19.4
43,13.6
44,37.0
45,20.8
46,37.3
47,22.8
48,9.7
49,27.5
50,23.1
51,21.4
52,29.6
53,14.5
54,22.8
55,17.8
56,23.7
57,19.3
58,18.7
59,15.2
60,19.3
61,16.7
62,50.0
63,16.8
64,33.2
65,44.8
66,23.7
67,21.2
68,25.0
69,33.1
70,36.2
71,14.6
72,19.6
73,28.6
74,19.7
75,23.1
76,23.3
77,50.0
78,19.9
79,8.8
80,18.4
81,20.8
82,24.1
83,14.0
84,23.8
85,18.9
86,24.5
87,25.0
88,35.4
89,19.8
90,7.4
91,22.9
92,19.4
93,22.2
94,14.1
95,24.6
96,20.1
97,23.3
98,25.0
99,16.8
100,24.7
101,8.1
102,12.6
103,19.3
104,22.0
105,20.6
106,18.5
107,27.9
108,20.0
109,14.3
110,16.6
111,18.2
112,30.1
113,10.8
114,7.0
115,27.5
116,8.5
117,18.4
118,17.7
119,21.4
120,15.0
121,13.5
122,13.3
123,24.1
124,20.6
125,11.7
126,13.6
127,9.6
128,36.2
129,21.2
130,16.3
131,34.9
132,10.2
133,14.6
134,13.8
135,7.5
136,21.7
137,50.0
138,34.7
139,21.0
140,16.6
141,25.0
142,18.5
143,32.7
144,37.2
145,28.4
146,15.0
147,48.3
148,22.5
149,19.0
150,10.4
151,50.0
152,26.6
153,20.4
154,16.1
155,5.0
156,20.0
157,22.5
158,22.0
159,50.0
160,10.9
161,22.4
162,30.7
163,32.4
164,18.9
165,13.4
166,22.6
167,26.5
168,10.5
169,15.2
170,20.4
171,27.9
172,21.7
173,13.8
174,17.2
175,36.5
176,19.4
177,25.0
178,23.2
179,25.0
180,27.1
181,21.1
182,45.4
183,13.1
184,18.6
185,19.2
186,26.2
187,21.6
188,7.2
189,23.2
190,50.0
191,15.6
192,20.5
193,23.1
194,20.3
195,21.7
196,13.8
197,11.9
198,18.6
199,20.8
200,22.0
201,24.8
202,43.8
203,33.4
204,18.2
205,17.8
206,46.0
207,21.7
208,31.6
209,23.9
210,26.7
211,19.8
212,20.3
213,15.6
214,8.3
215,13.3
216,16.5
217,20.7
218,34.9
219,24.4
220,26.6
221,50.0
222,18.9
223,20.2
224,23.3
225,22.6
226,13.2
227,12.0
228,30.1
229,22.3
230,31.5
231,48.5
232,31.6
233,29.1
234,24.4
235,17.5
236,28.7
237,14.5
238,23.8
239,24.0
240,28.2
241,22.2
242,30.1
243,17.4
244,23.7
245,12.5
246,11.5
247,21.4
248,12.7
249,7.0
250,19.5
251,29.8
252,50.0
253,24.3
254,28.5
255,22.6
256,24.3
257,23.2
258,13.8
259,34.6
260,21.7
261,19.4
262,17.8
263,18.3
264,16.0
265,24.4
266,11.8
267,10.4
268,23.1
269,20.6
270,28.1
271,23.6
272,31.1
273,33.8
274,26.4
275,23.4
276,33.3
277,36.0
278,42.3
279,17.1
280,33.4
281,18.5
282,13.9
283,22.9
284,8.4
285,11.3
286,23.0
287,19.4
288,22.6
289,10.2
290,24.4
291,29.1
292,19.9
293,15.7
294,25.0
295,16.1
296,13.4
297,5.6
298,21.6
299,20.9
300,22.9
301,23.1
302,13.5
303,35.4
304,17.8
305,14.4
306,17.5
307,22.2
308,24.7
309,19.6
310,18.0
311,19.0
312,48.8
313,23.8
314,50.0
315,23.2
316,46.7
317,17.6
318,21.4
319,16.4
320,12.7
321,21.0
322,9.5
323,27.5
324,17.5
325,19.9
326,15.6
327,17.0
328,23.1
329,27.5
330,8.3
331,18.4
332,13.0
333,18.7
334,19.9
335,33.0
336,20.1
337,16.7
338,28.4
339,21.9
340,32.0
341,19.1
342,19.7
343,17.1
344,22.4
345,22.7
346,11.8
347,22.6
348,23.1
349,19.1
350,22.7
351,31.5
352,10.5
353,13.1
354,19.1
355,27.1
356,15.6
357,21.8
358,13.1
359,14.9
360,21.5
361,24.7
362,20.3
363,14.9
364,23.9
365,20.4
366,20.4
367,17.4
368,21.0
369,15.2
370,21.5
371,7.2
372,23.9
373,20.2
374,16.1
375,33.2
376,25.2
377,44.0
378,36.4
379,33.1
380,29.8
381,23.7
382,23.5
383,32.5
384,20.1
385,24.1
386,23.9
387,24.2
388,15.6
389,15.4
390,19.2
391,22.3
392,22.2
393,24.5
394,28.7
395,20.0
396,12.1
397,22.0
398,27.0
399,10.9
400,29.0
401,16.5
402,19.4
403,29.4
404,18.9
405,23.0
406,8.7
407,23.8
408,19.6
409,21.7
410,32.0
411,13.1
412,5.0
413,50.0
414,17.1
415,20.6
416,21.8
417,8.8
418,35.1
419,24.8
420,7.2
421,19.5
422,11.7
423,50.0
424,18.1
425,22.8
426,37.6
427,19.3
428,22.2
429,32.2
430,19.6
431,21.7
432,13.3
433,35.2
434,14.9
435,8.4
436,19.6
437,21.2
438,19.1
439,32.9
440,23.9
441,31.7
442,15.4
443,20.5
444,24.3
445,28.7
446,15.1
447,11.0
448,25.1
449,26.4
450,12.8
451,18.8
452,13.9
453,12.7
454,6.3
