iter	RMSE
0	0.6864718318
1	0.6791901207
2	0.6742698863
3	0.6677432927
4	0.663619738
5	0.6570300324
6	0.6504661286
7	0.6443516384
8	0.6397612865
9	0.6349019858
10	0.6295671238
11	0.6252622696
12	0.6206403612
13	0.6167447745
14	0.6112146201
15	0.6065580134
16	0.6037123052
17	0.6011050131
18	0.5978527538
19	0.5963716596
20	0.5942140522
21	0.5901233538
22	0.5861820901
23	0.5824767665
24	0.5794992162
25	0.5765284604
26	0.5738516499
27	0.570873438
28	0.5671892307
29	0.5648688381
30	0.5623783566
31	0.5602476896
32	0.5571848853
33	0.5545041289
34	0.5500898338
35	0.5482973367
36	0.5453811246
37	0.5435790219
38	0.5406983672
39	0.53810926
40	0.5355086892
41	0.5332717155
42	0.5313553388
43	0.5302811303
44	0.528986043
45	0.526783857
46	0.5256797005
47	0.5242630269
48	0.521856356
49	0.5187025573
50	0.5182047032
51	0.5169203883
52	0.5132784827
53	0.5114901217
54	0.5100570433
55	0.5080339357
56	0.5054240286
57	0.5036015311
58	0.5010443418
59	0.4974646061
60	0.4948952697
61	0.4926635059
62	0.4915159588
63	0.489274939
64	0.4878538436
65	0.4852726173
66	0.4812814843
67	0.4784242394
68	0.4742832807
69	0.4723321065
70	0.4709597433
71	0.4691424585
72	0.4676805237
73	0.4642594147
74	0.4627568585
75	0.4594267153
76	0.4572457929
77	0.4561908005
78	0.4541768567
79	0.4516614908
80	0.4488816327
81	0.4457744716
82	0.4422070439
83	0.439744183
84	0.4381229238
85	0.4350667878
86	0.4321824598
87	0.4306370804
88	0.4288963837
89	0.4265500116
90	0.423619077
91	0.4203753328
92	0.4187877678
93	0.4159895885
94	0.4144365521
95	0.4125939586
96	0.4117555805
97	0.4103044746
98	0.405769077
99	0.4016378497
100	0.3988649765
101	0.3951852617
102	0.3922356746
103	0.3898314976
104	0.389298557
105	0.3888006008
106	0.3854133208
107	0.3848750975
108	0.3835287041
109	0.3826916063
110	0.3816115552
111	0.3780689641
112	0.3776388982
113	0.3749171344
114	0.3740597342
115	0.3705664616
116	0.3694632582
117	0.3688524884
118	0.3671592284
119	0.3631266512
120	0.3623849765
121	0.3617695541
122	0.359217978
123	0.3556047407
124	0.3534871122
125	0.3493235896
126	0.3456509081
127	0.3451779098
128	0.3416134953
129	0.3398314839
130	0.337112846
131	0.3366714402
132	0.3334980466
133	0.3321683674
134	0.3283609465
135	0.3248172404
136	0.3224819265
137	0.3198044174
138	0.3181089564
139	0.3176890484
140	0.3171829619
141	0.3168333523
142	0.3137766709
143	0.3121315949
144	0.3097023757
145	0.3061842504
146	0.3026199621
147	0.299565887
148	0.2973022344
149	0.2942627772
150	0.2922992931
151	0.2899820605
152	0.2877749406
153	0.285794936
154	0.2834502309
155	0.281254798
156	0.2809948109
157	0.2791126524
158	0.276100434
159	0.2739858012
160	0.2718149272
161	0.2708621374
162	0.2686736445
163	0.2661779883
164	0.2642082846
165	0.2626397029
166	0.2604272169
167	0.258524948
168	0.2566939569
169	0.2548258344
170	0.2530010656
171	0.2499348415
172	0.2476562526
173	0.2447993392
174	0.2424341744
175	0.2394107235
176	0.2367658687
177	0.2365413255
178	0.2352029802
179	0.2331933666
180	0.2304340502
181	0.2278542694
182	0.2272231198
183	0.2257170967
184	0.2238787791
185	0.2230243462
186	0.2213939302
187	0.2196705032
188	0.2182805058
189	0.2179855454
190	0.2159412494
191	0.2143983861
192	0.2131566305
193	0.2122256572
194	0.2120104649
195	0.2109766987
196	0.2099490484
197	0.2097045875
198	0.2095592391
199	0.2084537248
200	0.2068572577
201	0.2059967372
202	0.2045349898
203	0.2032768169
204	0.20133542
205	0.2010612831
206	0.1998873406
207	0.1997624278
208	0.1987899872
209	0.1975769207
210	0.1965083515
211	0.1954834629
212	0.1953186363
213	0.1952074558
214	0.1932594596
215	0.1918292056
216	0.1915532079
217	0.190527118
218	0.188858567
219	0.186684973
220	0.1857571599
221	0.1856381187
222	0.1842933642
223	0.1823940581
224	0.1808825785
