iter	Passed	Remaining
0	6	63020
1	10	51276
2	16	56034
3	22	54999
4	27	55216
5	35	58743
6	44	63753
7	52	65593
8	63	70167
9	73	73916
10	84	76444
11	96	80462
12	102	78818
13	108	77389
14	116	77673
15	126	79174
16	132	77676
17	137	76351
18	141	74352
19	145	72847
20	149	71229
21	153	69740
22	160	69775
23	170	71029
24	184	73515
25	196	75215
26	204	75358
27	211	75344
28	215	74259
29	220	73347
30	224	72257
31	228	71265
32	234	70728
33	238	69781
34	246	70137
35	257	71315
36	270	72938
37	277	72622
38	286	73132
39	292	72848
40	299	72777
41	307	72803
42	311	72031
43	316	71639
44	320	70881
45	324	70172
46	333	70547
47	341	70897
48	350	71096
49	357	71101
50	361	70586
51	365	69983
52	368	69155
53	373	68818
54	377	68275
55	381	67786
56	386	67467
57	390	66965
58	394	66484
59	399	66207
60	403	65763
61	407	65364
62	411	64921
63	415	64509
64	422	64584
65	428	64434
66	436	64687
67	445	65085
68	456	65667
69	464	65860
70	469	65650
71	475	65497
72	479	65187
73	483	64825
74	487	64509
75	495	64710
76	503	64919
77	507	64542
78	514	64557
79	520	64585
80	529	64854
81	537	65049
82	544	65060
83	553	65300
84	562	65592
85	567	65453
86	571	65159
87	576	64900
88	578	64447
89	586	64619
90	591	64427
91	599	64510
92	608	64781
93	619	65237
94	629	65582
95	640	66045
96	653	66721
97	659	66677
98	666	66663
99	672	66540
100	675	66253
101	678	65858
102	684	65809
103	693	65944
104	700	66054
105	707	66039
106	714	66038
107	721	66078
108	731	66355
109	744	66901
110	750	66865
111	759	67032
112	768	67233
113	774	67123
114	779	67045
115	786	67008
116	793	67059
117	800	66998
118	810	67273
119	816	67220
120	824	67341
121	831	67358
122	840	67497
123	847	67504
124	854	67533
125	865	67850
126	873	67892
127	880	67933
128	891	68255
129	900	68349
130	908	68444
131	916	68551
132	929	68941
133	937	69038
134	941	68816
135	950	68920
136	954	68723
137	960	68675
138	967	68643
139	975	68709
140	983	68790
141	988	68656
142	994	68522
143	997	68297
144	999	67934
145	1005	67839
146	1008	67628
147	1013	67458
148	1017	67275
149	1029	67613
150	1035	67510
151	1040	67425
152	1045	67314
153	1051	67207
154	1056	67083
155	1060	66908
156	1064	66738
157	1070	66689
158	1084	67115
159	1093	67267
160	1102	67396
161	1111	67503
162	1118	67503
163	1125	67492
164	1129	67328
165	1133	67178
166	1138	67031
167	1142	66865
168	1147	66749
169	1155	66791
170	1165	66980
171	1170	66907
172	1177	66890
173	1183	66855
174	1190	66834
175	1197	66866
176	1203	66789
177	1208	66708
178	1213	66599
179	1221	66643
180	1231	66807
181	1252	67574
182	1256	67419
183	1260	67271
184	1267	67227
185	1273	67174
186	1283	67327
187	1291	67391
188	1301	67553
189	1309	67592
190	1316	67601
191	1327	67823
192	1333	67781
193	1339	67720
194	1348	67791
195	1360	68069
196	1372	68273
197	1378	68264
198	1383	68153
199	1388	68060
200	1394	67990
201	1400	67920
202	1404	67788
203	1410	67709
204	1414	67582
205	1418	67459
206	1424	67372
207	1429	67309
208	1434	67205
209	1440	67136
210	1451	67316
211	1456	67267
212	1463	67268
213	1471	67284
214	1477	67250
215	1484	67219
216	1489	67155
217	1495	67127
218	1502	67116
219	1508	67046
220	1513	66966
221	1518	66897
222	1523	66800
223	1528	66703
224	1533	66604
225	1540	66604
226	1544	66516
227	1551	66496
228	1557	66445
229	1561	66323
230	1565	66194
231	1569	66078
232	1573	65955
233	1577	65824
234	1580	65695
235	1585	65580
236	1589	65479
237	1594	65394
238	1598	65296
239	1604	65236
240	1608	65143
241	1613	65041
242	1617	64933
243	1621	64841
244	1625	64725
245	1630	64649
246	1635	64573
247	1639	64462
248	1643	64342
249	1647	64233
250	1650	64120
251	1655	64025
252	1660	63954
253	1663	63839
254	1668	63747
255	1672	63669
256	1677	63590
257	1682	63521
258	1687	63459
259	1691	63378
260	1695	63274
261	1699	63180
262	1704	63105
263	1715	63268
264	1721	63255
265	1727	63229
266	1733	63181
267	1738	63123
268	1744	63105
269	1749	63044
270	1754	62977
271	1761	63006
272	1767	62967
273	1773	62943
274	1779	62919
275	1785	62901
276	1791	62869
277	1795	62779
278	1801	62755
279	1804	62653
280	1808	62560
281	1812	62465
282	1817	62416
283	1821	62322
284	1825	62229
285	1830	62160
286	1834	62084
287	1838	61991
288	1842	61896
289	1845	61803
290	1850	61727
291	1853	61637
292	1857	61544
293	1861	61457
294	1865	61373
295	1869	61293
296	1873	61208
297	1877	61116
298	1881	61028
299	1885	60955
300	1889	60873
301	1894	60829
302	1898	60744
303	1901	60658
304	1905	60575
305	1909	60496
306	1913	60426
307	1917	60341
308	1921	60268
309	1925	60196
310	1929	60121
311	1933	60040
312	1938	59981
313	1942	59911
314	1946	59845
315	1950	59773
316	1954	59692
317	1958	59628
318	1962	59549
319	1966	59489
320	1971	59432
321	1974	59358
322	1979	59292
323	1983	59231
324	1987	59153
325	1991	59099
326	1995	59024
327	1999	58965
328	2003	58906
329	2007	58838
330	2012	58788
331	2016	58716
332	2021	58674
333	2024	58602
334	2029	58540
335	2034	58516
336	2038	58454
337	2043	58407
338	2047	58337
339	2050	58267
340	2055	58232
341	2061	58205
342	2065	58146
